day,sum(bid_price)
2024-05-14,42749.16419999999
2024-01-03,43607.842699999994
2024-07-23,43643.24940000002
2024-02-17,44074.58259999998
2024-02-15,43915.44329999999
2024-01-17,42664.421600000016
2024-01-12,43812.13850000003
2024-08-06,43098.146
2024-04-20,44069.3479
2024-01-01,43764.47650000003
2024-01-02,43398.707899999994
2024-03-31,43329.368
2024-01-24,42990.43900000001
2024-07-21,43739.70330000001
2024-01-08,42938.1818
2024-02-22,43782.55959999999
2024-08-09,43935.62619999998
2024-01-07,43362.909199999995
2024-05-27,43183.86590000001
2024-01-04,42890.669299999965
2024-06-25,44388.8974
2024-01-05,43572.840999999986
2024-01-23,42949.9434
2024-01-06,43656.95970000005
2024-03-01,43334.032600000035
2024-01-16,43445.63930000001
2024-02-27,43775.2181
2024-01-13,44207.743499999975
2024-07-07,42720.258500000025
2024-01-09,43829.4762
2024-02-11,43713.20100000001
2024-12-24,44510.50809999997
2024-01-10,44429.90129999998
2024-06-01,43797.61099999997
2024-01-11,43128.000299999985
2024-01-14,44151.899399999995
2024-01-15,44035.79139999998
2024-02-08,43318.30200000001
2024-07-19,43701.3084
2024-02-29,43819.404799999975
2024-02-14,43320.85609999998
2024-10-30,42898.377899999985
2024-05-22,43097.86290000002
2024-04-21,43575.317899999965
2024-04-17,43282.37330000001
2024-01-18,44159.61729999998
2024-01-19,43347.994
2024-02-24,43862.6567
2024-08-28,42498.03729999998
2024-01-20,43575.19219999998
2024-01-21,43200.2445
2024-02-02,43855.00519999999
2024-11-27,43201.44050000001
2024-01-22,43925.83950000001
2024-01-25,42309.193100000004
2024-02-25,42735.19989999998
2024-01-26,44631.51449999999
2024-03-05,44160.074599999985
2024-01-27,42769.10499999999
2024-03-06,43540.1649
2024-01-28,43671.07250000001
2024-09-08,43775.279900000016
2024-07-05,43967.43939999998
2024-02-03,44550.01499999999
2024-01-29,43095.492199999964
2024-02-18,43137.45219999999
2024-01-30,42627.4105
2024-01-31,42761.640199999994
2024-02-01,43083.600600000034
2024-02-04,43318.32699999997
2024-02-28,44234.1139
2024-11-13,43049.12830000001
2024-09-23,42994.797099999996
2024-02-05,43832.456100000025
2024-02-06,44344.589299999934
2024-02-07,43683.61829999998
2024-08-02,43792.86969999996
2024-02-16,42924.82649999998
2024-02-09,43726.69629999998
2024-02-19,43160.96960000002
2024-02-10,43361.736899999996
2024-02-12,44371.531299999995
2024-02-21,43310.025100000006
2024-07-09,43518.83950000001
2024-02-13,43602.83859999999
2024-02-20,43546.64159999997
2024-04-24,43762.789000000004
2024-04-11,42962.62779999998
2024-02-23,42722.086200000005
2024-02-26,43341.6142
2024-03-02,43488.47789999998
2024-07-22,43675.9168
2024-03-03,43811.47590000003
2024-09-02,43249.43420000001
2024-03-04,43664.2184
2024-09-24,42819.75320000001
2024-06-29,43718.791099999966
2024-03-07,43409.252000000015
2024-05-28,42841.50590000002
2024-03-08,43668.379700000005
2024-07-28,43595.451199999996
2024-03-09,42932.937300000005
2024-03-10,43171.642100000005
2024-03-11,43978.33480000001
2024-10-16,44410.460699999996
2024-03-12,42630.04020000002
2024-03-13,43316.87319999997
2024-12-07,43960.42500000004
2024-03-14,43433.2882
2024-11-02,43488.90790000001
2024-06-27,43632.08820000003
2024-03-15,43923.45649999997
2024-03-16,43590.51590000003
2024-03-17,43777.9891
2024-05-25,43165.637500000004
2024-03-18,44460.565400000014
2024-03-19,43712.97390000003
2024-06-21,43470.89730000001
2024-03-20,43520.867300000005
2024-03-21,43107.28790000002
2024-03-22,44085.625
2024-03-23,43641.94180000001
2024-10-02,44492.96529999997
2024-08-15,43985.20219999999
2024-03-24,43067.302899999995
2024-11-05,43125.612499999974
2024-03-25,43709.172600000005
2024-12-14,43544.909199999995
2024-09-18,42860.16879999997
2024-03-26,42620.471600000004
2024-03-27,42804.687399999966
2024-03-28,43591.01600000002
2024-08-05,43720.44460000002
2024-03-29,42836.28559999998
2024-06-05,43284.53690000002
2024-03-30,43440.93080000001
2024-04-01,43864.143200000006
2024-08-23,43691.2016
2024-04-02,43782.72659999998
2024-04-03,43409.400499999996
2024-04-04,43652.11539999997
2024-04-05,43666.73969999999
2024-04-06,42591.49869999995
2024-04-07,43757.410199999984
2024-04-08,43498.573799999984
2024-11-23,43716.2651
2024-06-23,43967.49519999999
2024-04-09,43120.45690000002
2024-10-10,43042.51520000004
2024-09-15,43705.32220000002
2024-04-10,43745.03539999999
2024-12-16,43421.439100000025
2024-04-12,43913.32610000001
2024-04-13,42735.00510000001
2024-08-29,43355.475699999995
2024-04-14,43666.8292
2024-12-21,43414.7177
2024-04-15,43578.69489999998
2024-04-16,43095.2446
2024-04-18,43191.4081
2024-04-19,43325.123799999994
2024-04-22,43286.7232
2024-04-23,43399.6272
2024-08-01,43257.4684
2024-04-25,42584.87630000001
2024-12-22,43727.596
2024-04-26,43855.90720000002
2024-04-27,43920.33400000002
2024-04-28,43536.79730000003
2024-04-29,43204.670800000014
2024-09-13,43347.424499999965
2024-04-30,44012.8978
2024-05-01,43354.24770000001
2024-11-17,43520.164799999984
2024-05-02,42889.61029999999
2024-11-15,43973.503899999974
2024-09-30,43823.411100000005
2024-05-03,43642.00470000002
2024-12-26,43290.59699999999
2024-05-04,43436.886799999986
2024-07-15,43319.67700000001
2024-05-05,43314.0418
2024-06-13,43541.28150000002
2024-05-06,43552.2356
2024-08-03,43663.60420000002
2024-05-07,43589.06869999994
2024-09-03,43239.33119999999
2024-05-08,43165.41010000002
2024-05-09,43308.24270000002
2024-05-10,43504.994800000015
2024-05-11,44108.35830000001
2024-11-26,43550.78930000002
2024-10-31,43368.22080000004
2024-05-12,43234.730399999986
2024-05-13,43319.73769999997
2024-09-27,44431.878600000004
2024-05-15,42848.55160000005
2024-05-16,43518.29849999996
2024-05-17,43359.27599999998
2024-05-18,43092.96579999999
2024-05-19,42982.02740000001
2024-05-20,42686.01560000001
2024-12-28,43114.637399999985
2024-05-21,43963.02840000005
2024-05-23,43149.158700000015
2024-10-18,43304.71029999997
2024-05-24,43563.35749999998
2024-05-26,44276.70139999998
2024-05-29,43049.8889
2024-05-30,43294.196700000015
2024-05-31,43581.4209
2024-07-04,43494.94899999996
2024-06-02,42995.81549999997
2024-06-03,43960.052399999964
2024-08-14,43457.54409999997
2024-06-04,43480.70020000001
2024-06-06,43156.91990000001
2024-06-07,43472.71610000002
2024-06-08,43653.84130000001
2024-06-09,43852.40389999997
2024-06-10,43684.22099999999
2024-06-11,44495.8634
2024-12-01,42944.05809999997
2024-06-12,43247.5734
2024-06-14,43341.640700000025
2024-06-15,42971.14050000001
2024-10-15,43745.30369999998
2024-06-16,43659.77130000002
2024-06-17,43667.91849999998
2024-06-18,43777.34349999999
2024-06-19,43057.81850000002
2024-10-17,43756.24910000003
2024-06-20,43703.65129999999
2024-11-14,43277.737600000015
2024-06-22,42710.57870000003
2024-06-24,43260.1072
2024-08-24,43008.65639999999
2024-06-26,43450.679999999986
2024-10-22,43695.37409999999
2024-07-25,43834.47620000002
2024-06-28,43929.70409999999
2024-07-17,44564.95869999996
2024-06-30,43385.48899999999
2024-07-01,44103.1458
2024-07-02,43776.18829999999
2024-07-03,43287.03460000001
2024-07-06,43466.1989
2024-07-08,44696.925500000005
2024-11-01,43902.98730000001
2024-10-05,43381.49660000002
2024-07-10,43821.11750000001
2024-07-11,43302.77170000004
2024-07-12,43418.63520000001
2024-07-13,43331.99739999998
2024-07-14,43027.2358
2024-07-16,43327.11839999998
2024-07-18,43423.29120000001
2024-07-20,43386.91309999998
2024-08-27,43076.55030000002
2024-07-24,43800.91349999998
2024-07-26,42940.15240000002
2024-07-27,43085.99700000001
2024-12-23,43156.74680000001
2024-12-17,44124.85529999996
2024-07-29,43240.37940000002
2024-07-30,43056.58260000002
2024-07-31,43373.43549999999
2024-08-04,43602.48189999998
2024-08-07,42705.71939999998
2024-08-08,42913.02779999998
2024-08-10,43529.907100000004
2024-10-08,43860.77339999997
2024-08-11,43339.4061
2024-08-12,44051.3125
2024-08-13,42770.9471
2024-08-16,43004.53440000003
2024-09-25,43748.29429999997
2024-08-17,43590.76340000002
2024-08-18,43322.61250000001
2024-08-19,43996.18379999999
2024-08-20,43349.9685
2024-08-21,42770.096799999985
2024-09-06,42977.61299999999
2024-08-22,43815.006599999935
2024-09-26,42554.90530000001
2024-08-25,43126.13039999999
2024-08-26,43867.29729999999
2024-08-30,43088.049399999996
2024-08-31,43270.93449999999
2024-09-01,43885.31730000004
2024-09-04,43565.176799999994
2024-11-10,43843.49839999998
2024-10-23,43495.12200000002
2024-09-05,43265.3551
2024-09-07,44242.55779999998
2024-09-09,42910.77829999999
2024-09-10,44520.16019999997
2024-12-02,43152.27359999997
2024-09-11,43519.544300000016
2024-12-29,43769.9798
2024-12-27,44411.43150000003
2024-09-12,43874.408100000015
2024-09-14,43940.06990000002
2024-09-16,43589.916500000014
2024-11-20,43598.929499999984
2024-09-17,43674.696399999986
2024-09-19,43770.70440000003
2024-09-20,43581.32250000002
2024-09-21,43498.18609999996
2024-12-19,42760.018299999974
2024-09-22,42832.79660000001
2024-09-28,44695.98870000001
2024-09-29,43769.11909999998
2024-10-01,43556.238
2024-10-03,42957.43439999999
2024-10-04,44705.126299999974
2024-10-06,43136.610100000005
2024-10-07,43864.30560000001
2024-10-09,43932.147500000014
2024-10-11,43045.71450000002
2024-10-12,43456.39179999999
2024-10-13,43233.78409999999
2024-10-14,42919.11610000002
2024-10-19,43884.443800000015
2024-10-20,43630.290599999986
2024-10-21,43850.722600000016
2024-11-11,42916.8952
2024-10-24,43390.663900000014
2024-10-25,43962.3566
2024-10-26,43497.251899999974
2024-11-22,43176.87220000004
2024-10-27,42908.341600000014
2024-10-28,43215.526000000005
2024-10-29,43388.785399999986
2024-11-03,43115.533299999996
2024-11-04,43723.23600000002
2024-11-06,43636.1583
2024-11-21,43848.093100000006
2024-11-07,43251.7847
2024-11-08,44104.28000000002
2024-11-09,44196.66490000003
2024-11-12,43763.10840000002
2024-11-16,44422.93360000001
2024-12-25,43248.042799999996
2024-11-18,44039.283000000025
2024-11-19,44052.24149999999
2024-11-24,43347.74459999998
2024-11-25,44032.84440000003
2024-12-30,43648.170600000034
2024-11-28,43164.750900000014
2024-11-29,44128.6292
2024-11-30,43129.16460000002
2024-12-03,43405.3454
2024-12-04,44035.13880000001
2024-12-05,43238.92629999999
2024-12-06,42947.64430000001
2024-12-08,42834.4225
2024-12-09,43577.200500000006
2024-12-10,43557.148499999974
2024-12-11,44180.546500000026
2024-12-12,44310.900399999984
2024-12-13,43481.94419999999
2024-12-15,42985.443799999994
2024-12-18,43959.80330000003
2024-12-20,44279.15000000003
