publisher_id,sum(bid_price)
67,4.4342
812,9.761
480,21.9285
728,5.4613
5,3.721
550,3.2607
836,10.086400000000001
867,8.8116
358,3.0111
9,0.8342
97,2.2314
110,22.2027
865,3.3367
313,3.8545
508,8.5714
14,7.7719000000000005
500,0.9167
833,3.5841
800,7.8233999999999995
79,16.749
681,6.004999999999999
880,8.0081
875,6.1624
326,11.1308
997,9.8067
713,13.069
868,11.560500000000001
55,5.1839
236,6.5593
54,16.6514
182,9.9617
710,3.5517
928,1.6143
680,10.420200000000001
939,10.267900000000001
183,11.0519
371,2.572
981,0.3062
37,18.9793
26,12.718399999999999
934,3.2327000000000004
780,15.337
601,8.9406
253,6.917400000000001
168,5.3673
403,9.1121
612,4.5943
885,6.2076
458,9.8675
609,5.7608
204,11.083300000000001
869,9.2174
16,8.264
498,4.7569
518,5.9409
379,10.5473
62,5.405900000000001
774,21.5542
852,2.4693
198,9.9194
459,0.4056
317,10.7692
689,6.1768
786,5.6707
259,3.0286
134,11.0822
323,10.6864
802,11.8111
393,5.1516
915,4.7625
760,3.3957
312,8.9602
275,2.7716
960,9.7266
350,1.0392
701,11.4818
224,11.4175
544,14.8293
733,3.7142
854,13.7405
617,14.395800000000001
179,12.725200000000001
35,10.517
949,6.4472
114,4.5509
620,2.5901
155,4.0022
557,14.6355
958,9.0381
383,11.6964
512,6.2623
423,12.5262
91,7.1922
702,17.8247
17,0.4228
936,9.9713
925,4.4131
422,0.834
547,1.3987
893,4.5309
52,3.9337
827,8.3256
970,5.5512
64,2.9891
700,4.3936
32,8.3511
118,5.2873
306,0.7254
225,8.6423
479,4.7753
467,6.419700000000001
419,6.1073
944,10.5006
351,2.6459
561,6.033
598,0.5095
229,5.7783
615,11.8319
594,14.4368
366,8.9475
235,4.8657
184,6.5167
636,15.6878
784,10.7833
364,5.4643
506,3.6003
956,12.3112
135,6.2079
163,1.5902
166,3.8274
360,6.4529
513,0.5382
287,2.9711
602,3.1628
238,9.3296
767,13.417200000000001
677,7.3773
619,4.7634
96,7.8265
310,8.0384
162,5.114599999999999
418,0.0306
307,0.1313
745,8.537700000000001
482,8.7918
715,1.6299
160,3.5787
132,7.2779
993,3.3925
973,4.784000000000001
918,5.8887
165,2.6829
22,5.2828
104,10.2926
522,0.6206
244,7.6264
670,9.1013
180,0.2359
301,2.8809
772,5.7235
30,1.5093
249,7.2403
536,1.3127
723,2.3919
255,3.7075
374,6.028600000000001
684,5.6642
933,11.564499999999999
194,1.4592
254,5.4989
747,6.845700000000001
440,2.7661
560,3.8443
257,0.4071
338,4.4801
789,6.7457
897,1.8584
751,3.5852
806,5.3538
953,0.1529
273,5.456099999999999
824,0.1624
719,2.9701
696,0.3215
587,4.0872
472,2.2446
288,4.082800000000001
355,5.7539
864,1.5486
268,2.2167
486,5.4345
220,2.1836
496,0.2604
31,1.7697
509,9.8612
967,2.0388
987,0.4116
485,1.3173
457,3.7131
596,2.7699
741,3.2973
952,5.2516
726,10.6439
829,7.4058
859,3.3079
659,3.4689
923,3.9357
740,23.156800000000004
963,8.657
389,7.6682
718,4.1636
804,0.5871999999999999
894,19.625799999999998
68,9.977799999999998
36,3.1231
111,10.3809
274,6.6469000000000005
559,4.3095
53,6.9437999999999995
295,8.9472
564,5.3673
656,6.876099999999999
835,0.383
41,11.308900000000001
424,7.2097999999999995
678,8.2467
943,2.5703
501,7.0822
4,2.9278
792,7.8524
3,6.143
283,7.2018
814,4.4651
763,5.8505
810,1.3984
749,9.815100000000001
793,7.7471
511,6.6366
465,18.8338
292,6.2578000000000005
927,4.299
694,3.3032
889,19.891
329,7.0593
281,9.6415
89,0.9045
120,3.7213
58,10.0211
872,12.416599999999999
910,3.5749
624,13.8865
856,11.185200000000002
685,8.1067
920,6.1622
451,22.775499999999997
349,5.7779
430,8.8351
902,1.3127
202,12.0139
73,5.0451
669,10.2165
262,2.8301
629,11.629600000000002
703,14.5429
109,7.9865
955,3.6163
473,5.7629
223,2.1304
38,11.3552
708,2.8575
794,6.267799999999999
437,2.1621
447,8.518699999999999
293,6.7219999999999995
922,5.8914
433,5.779400000000001
541,10.6206
968,3.327
534,1.9073
632,0.552
671,13.640999999999998
176,6.0726
415,5.203600000000001
193,7.2348
985,3.3486
649,4.4953
188,0.7406
585,10.7527
82,2.7584999999999997
152,9.4237
333,2.983
290,11.146399999999998
614,1.2512
421,7.108499999999999
197,1.9793
976,13.4656
311,6.8465
171,3.0603
724,10.1189
210,17.9572
232,10.7619
339,4.2068
791,12.0987
658,23.3714
558,11.1395
315,5.722799999999999
640,10.998999999999999
33,4.3433
606,10.9368
840,4.25
974,3.3706
645,17.4033
651,4.1968
886,11.6296
633,11.79
151,7.2780000000000005
807,12.5854
777,8.4172
147,12.4955
446,8.872
420,4.5728
327,1.8509000000000002
316,16.6408
196,0.6688
957,13.6528
416,5.8841
206,2.0822
43,12.985700000000001
697,6.5796
548,9.8032
998,6.844799999999999
505,1.384
882,10.296800000000001
372,7.0468
815,6.5169999999999995
23,8.7424
899,5.4274000000000004
821,12.5752
523,9.1155
51,6.585999999999999
164,8.4908
24,7.1821
771,16.3159
761,3.856
809,9.5978
56,2.7251000000000003
215,2.836
884,5.9052
12,5.6471
722,7.038399999999999
705,1.9366
507,6.214
178,7.6671
20,7.2367
913,10.7884
359,6.4595
72,0.5246
284,2.4833
524,4.8755
779,19.0544
345,8.9084
994,2.0858
954,0.6831
271,1.3884
616,18.2383
362,5.174
773,6.9636
116,4.6845
688,8.8466
709,4.9764
712,8.6852
234,5.4777
488,3.6334999999999997
608,11.876300000000002
839,2.6102
567,14.749
736,5.1897
757,1.6822
377,0.3571
537,2.3777
737,9.758799999999999
999,4.3907
113,1.0759
218,3.0837
900,4.5952
729,6.930499999999999
294,3.2003
503,1.3379
931,0.9885
622,0.6069
370,1.6476
94,0.8084
570,4.7046
203,1.3455
588,2.6732
912,1.7257
40,3.2601
832,14.437299999999999
904,2.9236
201,1.6515
739,3.8983
161,1.8248
484,3.8095
105,4.2368
529,5.625
499,3.0118
909,3.6011
76,5.4092
461,3.0924
138,1.9973
402,2.8547
654,5.3865
136,3.8946
146,0.6205
665,5.5502
380,1.2024
775,7.6764
144,13.105
783,4.7063
352,8.3482
21,6.4956
555,20.225
530,16.5287
965,1.289
399,2.4101999999999997
667,10.557400000000001
860,7.5137
796,5.7552
562,13.4003
221,7.1488
666,10.9527
727,7.661300000000001
611,12.307500000000001
988,8.171
801,1.122
941,9.0063
483,8.184000000000001
25,1.6044
386,8.0269
883,4.0762
592,6.3549
233,2.4917
853,5.1856
291,3.9483
222,15.280500000000002
300,6.354900000000001
19,10.1855
549,1.9278
219,5.9442
141,6.7138
672,2.4704
734,9.2415
417,13.8915
400,9.3568
896,19.3095
990,4.1665
756,3.8758
762,12.6095
346,13.5276
1,7.995799999999999
334,0.8854
390,0.928
102,0.9166
946,1.3525
240,3.9702
714,7.1456
86,9.5527
431,8.3317
127,9.2126
149,12.6238
584,5.3911
959,7.792
938,19.691599999999998
87,3.4836
516,9.1638
241,3.1346
539,12.3919
690,1.6616
363,6.4791
532,18.7528
187,8.7945
7,12.6462
119,3.585
247,5.3497
948,3.3144
27,2.0786
591,22.0301
674,5.710000000000001
78,9.0292
770,10.3188
881,2.1966
369,15.574300000000001
99,4.0741
153,6.6009
566,13.491499999999998
623,7.4468
725,17.186700000000002
353,2.2151
683,6.1767
929,3.2189
795,7.114
921,6.4737
895,10.6328
394,10.7793
112,11.973600000000001
660,4.6721
848,1.1468
318,6.2280999999999995
245,0.4746
942,10.060200000000002
77,12.121
90,8.7698
940,4.0648
641,13.0982
919,14.5437
631,17.469
48,16.366799999999998
175,4.156000000000001
753,12.9253
348,4.463
686,7.8197
435,9.0196
605,9.015699999999999
930,4.7564
106,6.0457
261,1.3566
731,3.6519
61,0.3001
638,4.399
979,1.2138
759,4.1406
917,4.9027
299,7.7157
297,4.0084
502,16.429199999999998
519,8.0014
66,1.0977
434,3.5172
404,9.224
673,11.9282
695,14.6004
84,0.6076
752,3.959
342,5.0037
414,5.0286
340,0.7733
850,7.728300000000001
8,7.521100000000001
250,0.928
698,7.2622
945,3.1926
157,6.3056
252,6.7015
305,14.0064
776,0.4624
842,3.0903
256,4.9548000000000005
785,0.6905
216,5.3911999999999995
568,6.7667
169,5.1013
248,8.4098
782,2.7027
322,2.298
464,6.239
825,3.0042
260,8.8709
750,9.5715
140,3.9967
478,4.5228
263,7.5217
580,2.4984
100,5.7892
406,5.5877
59,8.9688
630,4.0724
148,10.123999999999999
707,6.4566
121,7.1504
302,4.8113
675,2.6501
331,8.0381
980,3.7691
13,7.9818999999999996
427,9.9234
412,8.486
819,3.3249
863,1.3776
746,1.1426
335,3.2234
272,14.9083
392,10.3988
46,3.2147
892,2.7631
211,6.6747
901,1.58
590,1.1844
384,6.4382
618,1.2154
962,8.455300000000001
214,2.3377
730,3.4588
493,5.4003
276,2.4562
877,2.894
578,2.0768
826,1.4889
858,0.8623
717,1.553
744,5.8783
57,5.3014
471,5.4563
289,11.726899999999999
207,12.7838
470,3.4530000000000003
494,5.5856
130,2.4676
798,7.9644
961,7.2543000000000015
855,12.1111
129,4.4717
108,7.2986
847,6.2783999999999995
385,10.650300000000001
758,12.5408
571,4.1622
397,1.3906
29,11.9688
639,1.2498
137,11.3277
799,2.7338999999999998
410,9.7306
159,7.756200000000001
811,16.0716
600,11.0268
576,2.2249999999999996
816,14.7646
448,10.579
489,16.5355
844,15.242899999999999
131,8.0078
336,22.448800000000002
124,0.4408
657,5.0562000000000005
354,8.1262
533,5.512600000000001
545,2.5558
228,10.5527
487,0.9021
463,13.6114
765,1.2795
577,8.0394
103,12.251800000000001
474,2.6685
63,8.6266
679,3.2274
200,4.7468
74,4.2829
18,8.298300000000001
426,2.3022
662,4.146599999999999
337,16.772
817,7.7652
490,7.0895
367,15.0953
49,7.9399999999999995
888,16.062
286,5.9956
378,5.6381000000000006
682,7.7225
330,9.9283
604,9.4576
905,14.7408
324,1.6036
343,6.0784
375,7.1504
711,7.5848
428,3.227
504,14.8922
613,8.364
39,2.9866
191,4.6696
60,5.4877
320,5.0582
195,13.4309
454,8.693
887,5.9499
862,2.6549
491,5.5259
565,1.8349
846,2.7099
466,4.1813
995,8.4968
365,6.1968
546,5.1739999999999995
47,20.0227
442,3.3388999999999998
871,2.6656
720,6.834300000000001
407,13.9998
589,12.5047
520,5.0923
838,4.7402999999999995
279,4.2836
128,5.8004999999999995
607,16.8909
230,9.254299999999999
574,2.6865
156,5.9423
569,20.5062
834,1.4795
735,9.7147
668,12.670000000000002
319,5.6491
526,0.1173
34,15.7899
556,5.6436
992,3.5662
818,5.6249
347,14.0776
445,0.7353
71,6.5052
429,4.1376
10,6.7782
661,10.8963
663,2.0276
861,5.4013
706,8.3432
510,5.8179
593,8.4507
174,4.9013
266,0.6763
937,13.3629
748,5.5356000000000005
515,12.6073
107,1.0388
267,4.8656
996,12.7387
837,12.9268
552,2.6982
93,16.484599999999997
167,1.0518
1000,7.9482
381,7.2196
898,0.619
595,17.0567
296,8.9337
453,10.373899999999999
217,8.5149
173,5.1323
150,7.1414
843,8.1708
528,9.1617
652,14.805700000000002
966,4.547599999999999
808,8.1189
575,15.859
357,32.1202
