day,sum(bid_price)
2024-01-01,43764.47649999992
2024-01-02,43398.70789999999
2024-01-03,43607.8427
2024-01-04,42890.669300000045
2024-01-05,43572.84099999996
2024-01-06,43656.95969999996
2024-01-07,43362.90920000001
2024-01-08,42938.181800000086
2024-01-09,43829.47619999999
2024-01-10,44429.90129999993
2024-01-11,43128.0003
2024-01-12,43812.13849999994
2024-01-13,44207.74349999999
2024-01-14,44151.899399999995
2024-01-15,44035.79140000003
2024-01-16,43445.63929999998
2024-01-17,42664.42160000001
2024-01-18,44159.617299999954
2024-01-19,43347.99400000003
2024-01-20,43575.192199999976
2024-01-21,43200.24449999997
2024-01-22,43925.83949999997
2024-01-23,42949.94339999995
2024-01-24,42990.438999999955
2024-01-25,42309.1931
2024-01-26,44631.51449999998
2024-01-27,42769.10500000004
2024-01-28,43671.07249999998
2024-01-29,43095.49219999999
2024-01-30,42627.4105
2024-01-31,42761.640199999994
2024-02-01,43083.60059999991
2024-02-02,43855.005199999985
2024-02-03,44550.014999999985
2024-02-04,43318.327
2024-02-05,43832.45610000004
2024-02-06,44344.58930000001
2024-02-07,43683.61829999987
2024-02-08,43318.302
2024-02-09,43726.696300000054
2024-02-10,43361.736899999996
2024-02-11,43713.20099999997
2024-02-12,44371.53129999999
2024-02-13,43602.83860000002
2024-02-14,43320.85610000003
2024-02-15,43915.4433
2024-02-16,42924.8265
2024-02-17,44074.582600000016
2024-02-18,43137.45220000003
2024-02-19,43160.969600000026
2024-02-20,43546.64160000006
2024-02-21,43310.02510000001
2024-02-22,43782.55959999999
2024-02-23,42722.08620000005
2024-02-24,43862.656700000036
2024-02-25,42735.19990000001
2024-02-26,43341.614199999996
2024-02-27,43775.2180999999
2024-02-28,44234.113900000055
2024-02-29,43819.4048
2024-03-01,43334.032599999984
2024-03-02,43488.477899999976
2024-03-03,43811.47590000005
2024-03-04,43664.2184
2024-03-05,44160.07460000001
2024-03-06,43540.164899999974
2024-03-07,43409.25199999997
2024-03-08,43668.37970000005
2024-03-09,42932.93729999999
2024-03-10,43171.6421
2024-03-11,43978.33479999998
2024-03-12,42630.04020000002
2024-03-13,43316.8732
2024-03-14,43433.28819999995
